vial,shake,name
1,FALSE,soybean20_water75_CaSO43_tergitol2
2,FALSE,soybean20_water75_CaSO43_tergitol1
3,FALSE,soybean20_water75_CaSO42_tergitol2
4,FALSE,soybean20_water75_CaSO42_tergitol1
5,FALSE,soybean20_water75_CaSO41_tergitol2
6,FALSE,soybean20_water75_CaSO41_tergitol1
