vial,shake,name
1,FALSE,soybean20_water75_CaSO43_lecithin2
2,FALSE,soybean20_water75_CaSO43_lecithin1
3,FALSE,soybean20_water75_CaSO42_lecithin2
4,FALSE,soybean20_water75_CaSO42_lecithin1
5,FALSE,soybean20_water75_CaSO41_lecithin2
6,FALSE,soybean20_water75_CaSO41_lecithin1
